id;average_length;average_weight;habitat;ph_of_water;color;Gender;life_span
192;18.84 inches;3.8 kg;rivers;7.8;Calico;TRUE;25 years
193;16.48 inches;8.96 kg;ponds;7;Calico;TRUE;5.8 years
194;4.06 inches;6.37 kg;ponds;7.9;Yellow;TRUE;19.5 years
195;5.61 inches;15.95 kg;rivers;6.6;Yellow;TRUE;1.2 years
196;15.75 inches;16.82 kg;slowmovingwaters;6.7;Calico;FALSE;23.6 years
197;3.82 inches;2.31 kg;slowmovingwaters;6.9;Green_and_Chocolate;TRUE;20.5 years
198;12.86 inches;15.03 kg;ponds;7.8;Red_and_White_Bi_Color;TRUE;10.9 years
199;6.14 inches;4.17 kg;ponds;7.7;White;FALSE;14.1 years
200;18.81 inches;15.92 kg;lakes;6.5;Red_and_White_Bi_Color;FALSE;13.8 years
201;8.08 inches;13.4 kg;slowmovingwaters;7.7;Reddish_Orange;TRUE;11.7 years
202;14.78 inches;11.08 kg;rivers;6.3;Orange;TRUE;23.6 years
203;16.26 inches;13.14 kg;idlewater;6.5;Calico;FALSE;25.3 years
204;18.24 inches;4.44 kg;rivers;7;Reddish_Orange;FALSE;21.6 years
205;2.21 inches;10.54 kg;rivers;6.5;White;FALSE;19.3 years
206;2.92 inches;17.5 kg;idlewater;6.9;Orange;TRUE;6.2 years
207;2.08 inches;9.07 kg;slowmovingwaters;7.1;White;FALSE;26 years
208;2.5 inches;17.46 kg;ponds;7.4;Red_and_White_Bi_Color;FALSE;17.1 years
209;14.71 inches;18.79 kg;rivers;7.8;Red_and_Silver;FALSE;7.6 years
210;6.5 inches;17.26 kg;slowmovingwaters;7.9;Orange;TRUE;13.1 years
211;5.03 inches;17.14 kg;lakes;6.3;Orange;FALSE;18.4 years
212;2.83 inches;12.48 kg;slowmovingwaters;7.6;Orange;TRUE;15.8 years
213;10.92 inches;6.95 kg;idlewater;7.6;Reddish_Orange;TRUE;12.7 years
214;2 inches;2.45 kg;lakes;7.3;Green_and_Chocolate;TRUE;20.9 years
215;6.26 inches;9.07 kg;ponds;7;Reddish_Orange;TRUE;6.5 years
216;13.9 inches;2.56 kg;slowmovingwaters;6.9;Orange;TRUE;10.6 years
217;4.93 inches;18.23 kg;idlewater;7.8;White;TRUE;9 years
218;1.43 inches;2.89 kg;rivers;6;Yellow;FALSE;26.2 years
219;8.92 inches;10.97 kg;idlewater;7.8;Yellow;TRUE;8.3 years
220;2.28 inches;6.82 kg;slowmovingwaters;7.9;Green_and_Chocolate;FALSE;3.8 years
221;11.54 inches;4.62 kg;slowmovingwaters;6.7;Calico;TRUE;9.4 years
222;12.35 inches;15.21 kg;ponds;7.6;Red_and_Silver;TRUE;8 years
223;19.92 inches;14.53 kg;rivers;7.6;Yellow;TRUE;7.6 years
224;14.42 inches;14.24 kg;rivers;7.6;White;FALSE;20.3 years
225;13.9 inches;11.33 kg;ponds;7.1;Yellow;FALSE;27.4 years
226;12.91 inches;2.7 kg;lakes;6.2;Green_and_Chocolate;FALSE;3.4 years
227;17.9 inches;6.12 kg;rivers;7.4;Yellow;FALSE;5.9 years
228;1.28 inches;13.74 kg;idlewater;7.6;Yellow;FALSE;7.8 years
229;16.62 inches;11.78 kg;slowmovingwaters;6.7;Calico;TRUE;25.9 years
230;8.32 inches;8.98 kg;lakes;7;Orange;FALSE;9.7 years
231;14.54 inches;14.2 kg;ponds;7.3;Yellow;FALSE;10.5 years
232;14.41 inches;9.18 kg;ponds;7.6;Red_and_White_Bi_Color;FALSE;19.1 years
233;16.84 inches;13.75 kg;lakes;6.4;Reddish_Orange;FALSE;6.1 years
234;11.93 inches;13.82 kg;lakes;7.9;Black_and_Orange;FALSE;2.7 years
235;6.99 inches;7.77 kg;rivers;6.8;Orange;TRUE;15.6 years
236;13.68 inches;5.55 kg;idlewater;8;Orange;FALSE;3.4 years
237;19.81 inches;16.47 kg;rivers;7.5;Calico;TRUE;2.3 years
238;4.15 inches;2.9 kg;slowmovingwaters;6.6;Calico;FALSE;9.8 years
239;5.27 inches;14.79 kg;lakes;6.7;Orange;TRUE;23.3 years
240;9.74 inches;10.53 kg;rivers;6.8;Calico;FALSE;22.4 years
241;11.35 inches;15.75 kg;lakes;6.7;White;FALSE;24.7 years
242;1.29 inches;7.54 kg;idlewater;7.6;Red_and_Silver;FALSE;15.4 years
243;14.47 inches;12.83 kg;idlewater;7.3;Red_and_Silver;FALSE;26.7 years
244;2.02 inches;5.65 kg;slowmovingwaters;6.6;Orange;FALSE;14.6 years
245;11.65 inches;6.47 kg;ponds;7.6;Orange;TRUE;4.5 years
246;2.09 inches;12.39 kg;slowmovingwaters;7;Red_and_Silver;TRUE;17.1 years
247;6.89 inches;8.27 kg;rivers;7.3;White;FALSE;7.9 years
248;6.97 inches;3.9 kg;ponds;7.5;Green_and_Chocolate;TRUE;24.3 years
249;17.3 inches;17.87 kg;lakes;7.6;Black_and_Orange;FALSE;18.7 years
250;7.69 inches;4.75 kg;lakes;7.6;Red_and_White_Bi_Color;FALSE;1.8 years
251;13.41 inches;12.7 kg;ponds;7.2;Yellow;TRUE;21.2 years
252;2.68 inches;15.86 kg;rivers;6.2;Black_and_Orange;FALSE;4 years
253;3.29 inches;3.65 kg;slowmovingwaters;7.9;Black_and_Orange;FALSE;24.1 years
254;19.13 inches;2.85 kg;lakes;6.1;Red_and_White_Bi_Color;FALSE;9.1 years
255;15.11 inches;17.01 kg;rivers;6.5;Red_and_Silver;TRUE;21 years
256;1.03 inches;7.66 kg;idlewater;7.9;Calico;TRUE;26.1 years
257;11.3 inches;6.61 kg;idlewater;6.3;Orange;FALSE;8.2 years
258;4.94 inches;4.83 kg;rivers;7.5;Black_and_Orange;FALSE;20.5 years
259;1.17 inches;8.42 kg;ponds;7.8;Yellow;FALSE;6 years
260;11.31 inches;11.4 kg;ponds;6.5;Red_and_Silver;FALSE;22 years
261;9.51 inches;5.84 kg;idlewater;7.4;Calico;FALSE;27 years
262;11.2 inches;7.19 kg;ponds;6.8;White;TRUE;7.7 years
263;14.14 inches;5.78 kg;slowmovingwaters;6.1;Orange;FALSE;22.9 years
264;14.84 inches;18.18 kg;slowmovingwaters;6.9;Green_and_Chocolate;TRUE;8.7 years
265;15.82 inches;6.57 kg;ponds;7.6;Green_and_Chocolate;TRUE;11.7 years
266;19.49 inches;7.46 kg;slowmovingwaters;7.2;Reddish_Orange;FALSE;27.2 years
267;19.91 inches;4.84 kg;slowmovingwaters;6.5;White;TRUE;7.7 years
268;13.76 inches;7.21 kg;ponds;6.6;White;FALSE;25.3 years
269;3.68 inches;10.16 kg;ponds;7.9;Black_and_Orange;TRUE;16.4 years
270;15.41 inches;7.5 kg;idlewater;7;Red_and_Silver;FALSE;7.9 years
271;12.03 inches;2.42 kg;rivers;6.3;Orange;FALSE;12.4 years
272;14.5 inches;11.95 kg;slowmovingwaters;7.1;Black_and_Orange;FALSE;8.2 years
273;1.35 inches;14.66 kg;rivers;6.7;Green_and_Chocolate;FALSE;4.7 years
274;8.93 inches;4.62 kg;rivers;6.1;Red_and_Silver;TRUE;27.3 years
275;15.62 inches;3.44 kg;idlewater;7.9;Red_and_White_Bi_Color;FALSE;19.1 years
276;16.5 inches;16.36 kg;ponds;7.5;White;FALSE;20 years
277;14.58 inches;15.53 kg;idlewater;6.9;Red_and_White_Bi_Color;TRUE;23.7 years
278;13.09 inches;18.02 kg;rivers;7.8;Black_and_Orange;TRUE;21.6 years
279;18.85 inches;7.33 kg;idlewater;6.7;Orange;TRUE;22.7 years
280;7.65 inches;12.25 kg;idlewater;6.7;Black_and_Orange;TRUE;10 years
281;3.76 inches;14.36 kg;rivers;7.6;Black_and_Orange;FALSE;8.3 years
282;9.63 inches;12.12 kg;idlewater;7.5;Orange;TRUE;22.2 years
283;15.04 inches;16.46 kg;slowmovingwaters;7.7;Black_and_Orange;FALSE;19.9 years
284;8.37 inches;8.89 kg;slowmovingwaters;6.6;Green_and_Chocolate;TRUE;21 years
285;6.87 inches;2.05 kg;lakes;6.9;Orange;FALSE;13.7 years
286;18.93 inches;8.17 kg;ponds;7.9;Red_and_White_Bi_Color;FALSE;19.2 years
287;14.11 inches;12.07 kg;slowmovingwaters;7.8;Reddish_Orange;TRUE;24.5 years
288;16.56 inches;7.16 kg;rivers;7.9;Orange;FALSE;19.6 years
289;10.53 inches;5.54 kg;lakes;6.1;Yellow;FALSE;23 years
290;6.4 inches;11.75 kg;slowmovingwaters;6.2;Calico;TRUE;20.5 years
291;13.05 inches;4.69 kg;slowmovingwaters;8;Green_and_Chocolate;FALSE;9.5 years
292;2.46 inches;6.95 kg;slowmovingwaters;7;Reddish_Orange;TRUE;3.2 years
293;7.42 inches;11.97 kg;lakes;7.5;Reddish_Orange;TRUE;16 years
294;13.35 inches;10.94 kg;ponds;7.6;Orange;FALSE;4.1 years
295;19.84 inches;15.77 kg;ponds;7.6;Red_and_White_Bi_Color;FALSE;8.2 years
296;4.47 inches;5.46 kg;idlewater;7.5;Red_and_Silver;TRUE;10.3 years
297;11.89 inches;6.81 kg;idlewater;6.2;Black_and_Orange;TRUE;18.8 years
298;17.46 inches;7.03 kg;slowmovingwaters;6.4;White;TRUE;3.4 years
299;13.15 inches;18.59 kg;rivers;6.2;Yellow;FALSE;19.6 years
300;17.76 inches;12.44 kg;ponds;6.4;Orange;TRUE;8.1 years
301;1.93 inches;17.39 kg;slowmovingwaters;6.9;Red_and_Silver;FALSE;15.9 years
302;17.6 inches;9.46 kg;idlewater;6.4;Reddish_Orange;TRUE;14.5 years
303;6.46 inches;13.79 kg;slowmovingwaters;7.3;Reddish_Orange;TRUE;9.4 years
304;11.33 inches;13.73 kg;lakes;6.1;Black_and_Orange;TRUE;6 years
305;8.03 inches;8.41 kg;rivers;7.9;Orange;TRUE;14.5 years
306;3.3 inches;9.84 kg;lakes;6.9;Red_and_White_Bi_Color;FALSE;10.6 years
307;5.96 inches;4.92 kg;slowmovingwaters;6.9;Green_and_Chocolate;FALSE;11 years
308;9.16 inches;13.57 kg;ponds;6.7;Yellow;FALSE;26.3 years
309;18.17 inches;5.25 kg;idlewater;7.8;White;TRUE;3.7 years
310;5.36 inches;9.65 kg;idlewater;6.2;Red_and_Silver;FALSE;6.6 years
311;10.16 inches;9.2 kg;lakes;7.8;Calico;TRUE;9.8 years
312;19.43 inches;2.51 kg;lakes;6.6;Orange;TRUE;9.8 years
313;19.27 inches;15.47 kg;ponds;6.8;Red_and_Silver;FALSE;3.8 years
314;6.28 inches;15.78 kg;idlewater;7;Red_and_White_Bi_Color;FALSE;14.3 years
315;18.68 inches;2.01 kg;idlewater;6.3;White;FALSE;23.7 years
316;7.05 inches;14.29 kg;rivers;6.4;Reddish_Orange;TRUE;14.4 years
317;7.48 inches;4.94 kg;slowmovingwaters;7.8;Green_and_Chocolate;TRUE;12.4 years
318;12.48 inches;3.62 kg;idlewater;7.7;Red_and_White_Bi_Color;TRUE;22.8 years
319;4.78 inches;7.59 kg;lakes;6.1;Black_and_Orange;TRUE;11.4 years
320;11.06 inches;8.83 kg;slowmovingwaters;6.4;Calico;FALSE;21.4 years
321;17.13 inches;15.86 kg;ponds;6.5;Red_and_Silver;FALSE;26.7 years
