NM number	Gene name	Gene Family	Category	Expression Value - stimulus	Expression Value + stimulus
NM_0005533	RYR2	MADS-box gene family	Regulatory protein gene families	0.275	0.249
NM_0004917	FH	CDK inhibitors	Regulatory protein gene families	0.17	0.156
NM_0006616	SDCCAG8	14-3-3 protein family	Regulatory protein gene families	0.877	0.844
NM_0003522	NLRP3	Families containing homeobox domains	Regulatory protein gene families	0.035	0.033
NM_0005626	TPO	Nuclear receptor	Regulatory protein gene families	0.739	0.779
NM_0004438	KLF11	Immunoglobulin superfamily	Immune system proteins	0.803	0.863
NM_0006622	LPIN1	Peroxin	Transporters	0.104	0.109
NM_0005384	NBAS	Families containing homeobox domains	Regulatory protein gene families	0.597	0.542
NM_0004938	WDR35	Janus kinases	Signal transducing proteins	0.31	0.335
NM_0008699	MATN3	P300-CBP coactivator family	Regulatory protein gene families	0.14	0.148
NM_0001921	HADHA	General transcription factor	Regulatory protein gene families	0.842	0.919
NM_0009753	HADHB	FH2 protein (formin) gene family	Transporters	0.002	0.002
NM_0006908	OTOF	DHH phosphatase family	Transporters	0.642	0.594
NM_0001813	MPV17	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.385	0.351
NM_0003880	PPP1CB	Antiporter	Transporters	0.454	0.422
NM_0008636	C2orf71	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.586	0.532
NM_0008624	ALK	Dynein	Motor proteins	0.312	0.299
NM_0007420	XDH	GABA transporter	Transporters	0.042	0.044
NM_0001314	SPAST	Monoamine transporter	Transporters	0.523	0.478
NM_0005451	NLRC4	Receptor tyrosine kinases	Signal transducing proteins	0.899	0.91
NM_0005343	CYP1B1	Glycine transporter	Transporters	0.774	0.749
NM_0004530	SOS1	Non-receptor tyrosine kinase	Signal transducing proteins	0.04	0.037
NM_0003936	ABCG5	Ion channels	Transporters	0.317	0.344
NM_0009068	ABCG8	Bacterial potassium transporter	Transporters	0.049	0.051
NM_0005573	LRPPRC	Globin	Transporters	0.021	0.023
NM_0003378	SLC3A1	Expansin gene family	Transporters	0.089	0.085
NM_0007984	SIX3	Rap family	Signal transducing proteins	0.424	0.399
NM_0004641	EPCAM	Arf family	Signal transducing proteins	0.07	0.063
NM_0005714	MSH2	SRC kinase family	Signal transducing proteins	0.25	0.27
NM_0007090	MSH6	Rab family	Signal transducing proteins	0.388	0.419
NM_0001081	LHCGR	ABC transporters	Transporters	0.469	0.424
NM_0009372	PNPT1	RIG-I like receptors	Immune system proteins	0.313	0.285
NM_0006801	WDPCP	Nuclear receptor	Regulatory protein gene families	0.854	0.935
NM_0005375	SLC1A4	Bacterial potassium transporter	Transporters	0.043	0.041
NM_0004713	NFU1	NF-kB	Regulatory protein gene families	0.315	0.286
NM_0005360	ATP6V1B1	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.81	0.774
NM_0009329	MCEE	P300-CBP coactivator family	Regulatory protein gene families	0.926	0.847
NM_0007839	DYSF	Ras family	Signal transducing proteins	0.006	0.006
NM_0004795	STAMBP	General transcription factor	Regulatory protein gene families	0.588	0.595
NM_0002222	ACTG2	Dynein	Motor proteins	0.727	0.758
NM_0003753	DGUOK	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.926	0.977
NM_0002119	DCTN1	SRC kinase family	Signal transducing proteins	0.859	0.91
NM_0005571	MOGS	Peroxin	Transporters	0.26	0.253
NM_0003197	HTRA2	Roundabout family	Transporters	0.39	0.376
NM_0009969	SUCLG1	POU family	Regulatory protein gene families	0.329	0.299
NM_0009862	ST3GAL5	14-3-3 protein family	Regulatory protein gene families	0.656	0.621
NM_0004455	EIF2AK3	Glutamate transporter	Transporters	0.547	0.514
NM_0008607	TMEM127	MADS-box gene family	Regulatory protein gene families	0.557	0.543
NM_0007976	CNGA3	Glutamate transporter	Transporters	0.165	0.161
NM_0003266	SLC5A7	Nuclear receptor	Regulatory protein gene families	0.796	0.804
NM_0001947	EDAR	Olfactory receptor	Signal transducing proteins	0.249	0.264
NM_0006624	MERTK	Pattern recognition receptor	Immune system proteins	0.333	0.358
NM_0003703	IL36RN	Myosin	Motor proteins	0.459	0.482
NM_0001858	GLI2	SNARE family	Transporters	0.111	0.117
NM_0006000	PROC	ABC transporters	Transporters	0.202	0.196
NM_0005729	HS6ST1	NOTCH2NL	Regulatory protein gene families	0.206	0.211
NM_0002582	RAB3GAP1	Nuclear receptor	Regulatory protein gene families	0.971	1.051
NM_0001551	ORC4	Myosin	Motor proteins	0.145	0.153
NM_0008148	MBD5	Glutamate transporter	Transporters	0.005	0.005
NM_0005231	KIF5C	Nuclear receptor	Regulatory protein gene families	0.716	0.728
NM_0003892	NEB	RIG-I like receptors	Immune system proteins	0.407	0.419
NM_0007836	CACNB4	Major histocompatibility complex (MHC)	Immune system proteins	0.316	0.288
NM_0007941	ACVR1	RIG-I like receptors	Immune system proteins	0.816	0.853
NM_0002220	IFIH1	Bacterial potassium transporter	Transporters	0.128	0.133
NM_0005406	SCN3A	Transcription factors	Regulatory protein gene families	0.687	0.734
NM_0005807	SCN2A	G-proteins	Signal transducing proteins	0.144	0.154
NM_0002023	TTC21B	Transcription factors	Regulatory protein gene families	0.611	0.557
NM_0009701	SCN1A	Olfactory receptor	Signal transducing proteins	0.319	0.339
NM_0007289	SCN9A	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.127	0.133
NM_0002800	ABCB11	Non-receptor tyrosine kinase	Signal transducing proteins	0.435	0.42
NM_0002016	LRP2	Fibroblast growth factors (FGF)	Transporters	0.029	0.026
NM_0003007	BBS5	Fibroblast growth factor receptors (FGFR)	Transporters	0.255	0.267
NM_0004663	KLHL41	Immunoglobulin superfamily	Immune system proteins	0.024	0.022
NM_0007842	GAD1	Dynein	Motor proteins	0.518	0.497
NM_0003926	SLC25A12	DHH phosphatase family	Transporters	0.574	0.599
NM_0002255	DFNB59	Ras family	Signal transducing proteins	0.498	0.539
NM_0001836	TTN	Ras family	Signal transducing proteins	0.716	0.753
NM_0002590	NEUROD1	Kinesin	Motor proteins	0.252	0.228
NM_0003207	COL3A1	Papain-like protease	Transporters	0.079	0.073
NM_0002854	COL5A2	Rap family	Signal transducing proteins	0.08	0.073
NM_0003245	SLC40A1	Non-receptor tyrosine kinase	Signal transducing proteins	0.985	1.065
NM_0006220	MSTN	SNARE family	Transporters	0.319	0.298
NM_0008569	HIBCH	NOD-like receptors	Immune system proteins	0.583	0.535
NM_0006294	CASP10	Aquaporins	Transporters	0.293	0.319
NM_0003999	ALS2	Cyclins	Regulatory protein gene families	0.088	0.086
NM_0007411	BMPR2	Rab family	Signal transducing proteins	0.115	0.107
NM_0003369	NDUFS1	GABA transporter	Transporters	0.503	0.482
NM_0001440	ACADL	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.824	0.779
NM_0001069	CPS1	Serine/threonine-specific protein kinase	Signal transducing proteins	0.901	0.858
NM_0006637	BARD1	Nuclear receptor	Regulatory protein gene families	1.0	1.026
NM_0006399	ABCA12	Non-receptor tyrosine kinase	Signal transducing proteins	0.99	0.965
NM_0005016	SMARCAL1	P300-CBP coactivator family	Regulatory protein gene families	0.335	0.355
NM_0001670	BCS1L	Olfactory receptor	Signal transducing proteins	0.428	0.412
NM_0009098	CYP27A1	Rab family	Signal transducing proteins	0.912	0.977
NM_0003686	WNT10A	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.326	0.357
NM_0007936	NHEJ1	Solute carrier family	Transporters	0.31	0.333
NM_0003805	DNAJB2	Cyclin dependent kinases	Regulatory protein gene families	0.179	0.196
NM_0006360	DES	RIG-I like receptors	Immune system proteins	0.82	0.844
NM_0001602	PAX3	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.398	0.37
NM_0008282	MRPL44	Pattern recognition receptor	Immune system proteins	0.363	0.392
NM_0008489	CUL3	Equilibrative nucleoside transporter family	Transporters	0.603	0.655
NM_0007584	COL4A4	Expansin gene family	Transporters	0.302	0.321
NM_0005942	COL4A3	Arf family	Signal transducing proteins	0.601	0.567
NM_0008963	SLC19A3	Rab family	Signal transducing proteins	0.273	0.277
NM_0001880	SP110	Glutamate transporter	Transporters	0.462	0.453
NM_0009499	DIS3L2	Papain-like protease	Transporters	0.812	0.836
NM_0002970	ECEL1	DHH phosphatase family	Transporters	0.753	0.705
NM_0001021	PRSS56	Toll-like receptors	Immune system proteins	0.316	0.331
NM_0003264	CHRND	ABC transporters	Transporters	0.529	0.572
NM_0002550	CHRNG	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.495	0.455
NM_0002589	SAG	RIG-I like receptors	Immune system proteins	0.112	0.116
NM_0002332	UGT1A1	Glycine transporter	Transporters	0.531	0.509
NM_0007397	COL6A3	ABC transporters	Transporters	0.404	0.393
NM_0002036	NDUFA10	MAP Kinase	Signal transducing proteins	0.599	0.65
NM_0007098	KIF1A	Major histocompatibility complex (MHC)	Immune system proteins	0.782	0.853
NM_0009994	AGXT	GATA transcription factor	Regulatory protein gene families	0.321	0.349
NM_0009600	D2HGDH	Antiporter	Transporters	0.811	0.852
NM_0007163	SUMF1	FH2 protein (formin) gene family	Transporters	0.256	0.233
NM_0003224	CAV3	Expansin gene family	Transporters	0.616	0.565
NM_0002847	CRELD1	Major facilitator superfamily	Transporters	0.859	0.875
NM_0003100	FANCD2	Antiporter	Transporters	0.753	0.762
NM_0002565	VHL	Olfactory receptor	Signal transducing proteins	0.112	0.103
NM_0003762	PPARG	Kinesin	Motor proteins	0.612	0.584
NM_0005714	TSEN2	NF-kB	Regulatory protein gene families	0.165	0.158
NM_0006774	RAF1	Rab family	Signal transducing proteins	0.419	0.411
NM_0002032	TMEM43	Pattern recognition receptor	Immune system proteins	0.617	0.592
NM_0008025	XPC	Dynein	Motor proteins	0.862	0.82
NM_0003300	COLQ	CDK inhibitors	Regulatory protein gene families	0.224	0.202
NM_0005693	BTD	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.273	0.26
NM_0007110	EOMES	Papain-like protease	Transporters	0.768	0.745
NM_0002967	TGFBR2	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.934	1.001
NM_0004303	GPD1L	Rap family	Signal transducing proteins	0.017	0.018
NM_0001545	MLH1	Nuclear receptor	Regulatory protein gene families	0.737	0.809
NM_0003077	ACVR2B	ABC transporters	Transporters	0.491	0.477
NM_0007920	SCN5A	Membrane-spanning 4A	Transporters	0.773	0.785
NM_0009891	SCN10A	Hox gene family	Regulatory protein gene families	0.975	1.051
NM_0001118	SCN11A	Cyclins	Regulatory protein gene families	0.968	1.001
NM_0005062	KLHL40	CDK inhibitors	Regulatory protein gene families	0.804	0.784
NM_0005661	ANO10	P300-CBP coactivator family	Regulatory protein gene families	0.148	0.14
NM_0007355	LARS2	Arf family	Signal transducing proteins	0.247	0.271
NM_0002829	SLC6A20	MADS-box gene family	Regulatory protein gene families	0.795	0.804
NM_0008618	FYCO1	GABA transporter	Transporters	0.696	0.752
NM_0007357	MYL3	CDK inhibitors	Regulatory protein gene families	0.503	0.539
NM_0004294	PTH1R	Rab family	Signal transducing proteins	0.688	0.728
NM_0002260	NBEAL2	NOD-like receptors	Immune system proteins	0.127	0.118
NM_0005213	SETD2	Neurotransmitter transporter	Transporters	0.048	0.045
NM_0007520	TREX1	DLX gene family	Regulatory protein gene families	0.771	0.735
NM_0009658	COL7A1	Bacterial potassium transporter	Transporters	0.912	0.965
NM_0007811	LAMB2	Solute carrier family	Transporters	0.757	0.791
NM_0001279	AMT	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.118	0.115
NM_0002662	DAG1	Rap family	Signal transducing proteins	0.364	0.382
NM_0003664	GMPPB	P300-CBP coactivator family	Regulatory protein gene families	0.986	1.024
NM_0007648	ABHD14A-ACY1	G-proteins	Signal transducing proteins	0.362	0.332
NM_0007465	TNNC1	Hox gene family	Regulatory protein gene families	0.176	0.168
NM_0003018	RFT1	ATCase/OTCase family	Transporters	0.054	0.057
NM_0006109	IL17RD	Ion channels	Transporters	0.306	0.294
NM_0004006	HESX1	GABA transporter	Transporters	0.694	0.645
NM_0006980	FLNB	GATA transcription factor	Regulatory protein gene families	0.069	0.065
NM_0001104	PRICKLE2	Ras family	Signal transducing proteins	0.118	0.122
NM_0009299	FOXP1	MAP Kinase	Signal transducing proteins	0.145	0.149
NM_0009064	GBE1	POU family	Regulatory protein gene families	0.314	0.289
NM_0009236	CHMP2B	Rho family	Signal transducing proteins	0.87	0.88
NM_0004456	PROS1	Immunoglobulin superfamily	Immune system proteins	0.458	0.428
NM_0001605	ARL13B	Major histocompatibility complex (MHC)	Immune system proteins	0.818	0.875
NM_0006467	TFG	MADS-box gene family	Regulatory protein gene families	0.389	0.42
NM_0007279	IMPG2	GATA transcription factor	Regulatory protein gene families	0.665	0.692
NM_0008317	ARHGAP31	POU family	Regulatory protein gene families	0.935	0.895
NM_0008189	HGD	Cyclins	Regulatory protein gene families	0.417	0.432
NM_0002277	IQCB1	ATCase/OTCase family	Transporters	0.751	0.801
NM_0003723	ADCY5	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.846	0.833
NM_0005139	MYLK	Non-receptor tyrosine kinase	Signal transducing proteins	0.807	0.778
NM_0001406	UMPS	General transcription factor	Regulatory protein gene families	0.095	0.096
NM_0003001	GATA2	Non-receptor tyrosine kinase	Signal transducing proteins	0.228	0.242
NM_0004014	ACAD9	Membrane-spanning 4A	Transporters	0.355	0.33
NM_0004806	GP9	Myosin	Motor proteins	0.375	0.345
NM_0003410	NPHP3	Kinesin	Motor proteins	0.433	0.448
NM_0002343	TF	Ion channels	Transporters	0.335	0.345
NM_0003851	PCCB	Aquaporins	Transporters	0.265	0.241
NM_0006414	FOXL2	Aquaporins	Transporters	0.887	0.859
NM_0009886	ATR	Heat shock proteins	Transporters	0.079	0.074
NM_0003773	HPS3	Myosin	Motor proteins	0.282	0.301
NM_0003128	CLRN1	NOD-like receptors	Immune system proteins	0.067	0.064
NM_0002943	SLC33A1	POU family	Regulatory protein gene families	0.651	0.639
NM_0005031	SI	Families containing homeobox domains	Regulatory protein gene families	0.525	0.504
NM_0007505	BCHE	Immunoglobulin superfamily	Immune system proteins	0.7	0.657
NM_0007472	SLC2A2	Ion channels	Transporters	0.086	0.089
NM_0004807	GHSR	Hox gene family	Regulatory protein gene families	0.577	0.561
NM_0003649	PIK3CA	FH2 protein (formin) gene family	Transporters	0.977	0.946
NM_0008644	CCDC39	RIG-I like receptors	Immune system proteins	0.771	0.713
NM_0007234	MCCC1	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.485	0.462
NM_0002108	EIF2B5	RIG-I like receptors	Immune system proteins	0.719	0.672
NM_0005734	ALG3	Peroxin	Transporters	0.817	0.736
NM_0002998	CLCN2	Roundabout family	Transporters	0.983	1.004
NM_0003975	TP63	Glutamate transporter	Transporters	0.099	0.106
NM_0003892	CCDC50	Protocadherin gene family	Transporters	0.631	0.66
NM_0009305	FGF12	NOD-like receptors	Immune system proteins	0.727	0.679
NM_0009476	OPA1	Protocadherin gene family	Transporters	0.004	0.004
NM_0002382	PDE6B	FH2 protein (formin) gene family	Transporters	0.672	0.708
NM_0002066	IDUA	Major facilitator superfamily	Transporters	0.561	0.591
NM_0004379	FGFR3	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.093	0.091
NM_0009739	SH3BP2	Cyclin dependent kinases	Regulatory protein gene families	0.74	0.759
NM_0004729	DOK7	G-proteins	Signal transducing proteins	0.096	0.087
NM_0007505	EVC2	Immunoglobulin superfamily	Immune system proteins	0.842	0.906
NM_0004272	EVC	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.284	0.28
NM_0006310	WFS1	Janus kinases	Signal transducing proteins	0.012	0.012
NM_0005544	SLC2A9	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.052	0.051
NM_0006401	CC2D2A	Serine/threonine-specific protein kinase	Signal transducing proteins	0.819	0.775
NM_0005678	PROM1	Neurotransmitter transporter	Transporters	0.317	0.347
NM_0004913	WDR19	Dynein	Motor proteins	0.774	0.826
NM_0004391	UCHL1	MAP Kinase	Signal transducing proteins	0.542	0.58
NM_0003456	GRXCR1	NOTCH2NL	Regulatory protein gene families	0.583	0.549
NM_0001050	CNGA1	Hox gene family	Regulatory protein gene families	0.038	0.035
NM_0003474	SGCB	Globin	Transporters	0.397	0.402
NM_0006708	PDGFRA	NOD-like receptors	Immune system proteins	0.937	1.002
NM_0009594	KIT	Heat shock proteins	Transporters	0.003	0.003
NM_0004984	GNRHR	Roundabout family	Transporters	0.544	0.503
NM_0004328	ENAM	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.397	0.41
NM_0007387	DSPP	G-proteins	Signal transducing proteins	0.369	0.383
NM_0006502	DMP1	Ras family	Signal transducing proteins	0.612	0.557
NM_0001362	PKD2	GATA transcription factor	Regulatory protein gene families	0.585	0.538
NM_0005689	SNCA	Peroxin	Transporters	0.736	0.802
NM_0005930	MTTP	Receptor tyrosine kinases	Signal transducing proteins	0.081	0.082
NM_0007696	SLC39A8	Membrane-spanning 4A	Transporters	0.112	0.107
NM_0004622	MANBA	MADS-box gene family	Regulatory protein gene families	0.472	0.429
NM_0001318	LRIT3	MAP Kinase	Signal transducing proteins	0.222	0.2
NM_0009365	ANK2	Receptor tyrosine kinases	Signal transducing proteins	0.063	0.059
NM_0006787	MYOZ2	Fibroblast growth factors (FGF)	Transporters	0.437	0.402
NM_0008819	BBS12	Heat shock proteins	Transporters	0.026	0.028
NM_0007453	MFSD8	Hox gene family	Regulatory protein gene families	0.542	0.576
NM_0001711	MMAA	Receptor tyrosine kinases	Signal transducing proteins	0.646	0.589
NM_0008680	LRBA	Pattern recognition receptor	Immune system proteins	0.399	0.372
NM_0002835	FGB	Immunoglobulin superfamily	Immune system proteins	0.594	0.631
NM_0006719	FGA	Roundabout family	Transporters	0.124	0.121
NM_0002010	ETFDH	Families containing homeobox domains	Regulatory protein gene families	0.709	0.655
NM_0003789	NEK1	DHH phosphatase family	Transporters	0.337	0.308
NM_0007217	AGA	Peroxin	Transporters	0.191	0.202
NM_0005258	SLC25A4	14-3-3 protein family	Regulatory protein gene families	0.27	0.25
NM_0004993	PDLIM3	Bacterial potassium transporter	Transporters	0.494	0.445
