scientific_name;common_name;meaning;diet;length_m;weight_kg;height_m;locomotion;period;lived_in;behavior_notes;first_discovered;fossil_location;notable_features;intelligence_level;source_link;row_index
Archaeoceratops;Archaeoceratops;Fused lizard;Herbivore;6.0;6000.0;1.7;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Archaeoceratops;28
Archaeopteryx;Archaeopteryx;Different lizard;Carnivore;12.0;2000.0;3.5;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Archaeopteryx;29
Archaeornithomimus;Archaeornithomimus;Alvarez's lizard;Carnivore;2.0;20.0;0.8;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Archaeornithomimus;30
Argentinosaurus;Argentinosaurus;La Amarga lizard;Herbivore;35.0;75000.0;10.0;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Argentinosaurus;31
Arrhinoceratops;Arrhinoceratops;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Arrhinoceratops;32
Atlascopcosaurus;Atlascopcosaurus;Vineyard lizard;Herbivore;15.0;5000.0;4.2;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Atlascopcosaurus;33
Atrociraptor;Atrociraptor;Almond tooth;Herbivore;12.0;3000.0;3.0;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Atrociraptor;34
Aucasaurus;Aucasaurus;Near horned face;Herbivore;6.0;2000.0;2.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Aucasaurus;35
Austrosaurus;Austrosaurus;Near bird;Carnivore;0.5;0.38;0.25;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Austrosaurus;36
Avaceratops;Avaceratops;Near lizard;Herbivore;2.0;50.0;1.0;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Avaceratops;37
Avimimus;Avimimus;Fused lizard;Herbivore;6.0;6000.0;1.7;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Avimimus;38
Bactrosaurus;Bactrosaurus;Different lizard;Carnivore;12.0;2000.0;3.5;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Bactrosaurus;39
Bagaceratops;Bagaceratops;Alvarez's lizard;Carnivore;1.0;22.0;0.5;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Bagaceratops;40
Bambiraptor;Bambiraptor;La Amarga lizard;Herbivore;10.0;2500.0;3.5;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Bambiraptor;41
Barapasaurus;Barapasaurus;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Barapasaurus;42
Barosaurus;Barosaurus;Vineyard lizard;Herbivore;27.0;20000.0;6.0;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Barosaurus;43
Baryonyx;Baryonyx;Almond tooth;Herbivore;9.5;1700.0;3.0;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Baryonyx;44
Becklespinax;Becklespinax;Near horned face;Herbivore;6.0;2000.0;2.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Becklespinax;45
Beipiaosaurus;Beipiaosaurus;Near bird;Carnivore;0.5;0.38;0.25;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Beipiaosaurus;46
Bellusaurus;Bellusaurus;Near lizard;Herbivore;2.0;50.0;1.0;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Bellusaurus;47
Borogovia;Borogovia;Fused lizard;Herbivore;6.0;6000.0;1.7;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Borogovia;48
Brachiosaurus;Brachiosaurus;Different lizard;Carnivore;26.0;56000.0;12.0;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Brachiosaurus;49
Brachylophosaurus;Brachylophosaurus;Alvarez's lizard;Carnivore;2.0;20.0;0.8;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Brachylophosaurus;50
Brachytrachelopan;Brachytrachelopan;La Amarga lizard;Herbivore;10.0;2500.0;3.5;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Brachytrachelopan;51
Buitreraptor;Buitreraptor;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Buitreraptor;52
Camarasaurus;Camarasaurus;Vineyard lizard;Herbivore;15.0;5000.0;4.2;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Camarasaurus;53
Camptosaurus;Camptosaurus;Almond tooth;Herbivore;12.0;3000.0;3.0;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Camptosaurus;54
Carcharodontosaurus;Carcharodontosaurus;Near horned face;Herbivore;13.0;6400.0;4.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Carcharodontosaurus;55
Carnotaurus;Carnotaurus;Near bird;Carnivore;8.0;2100.0;3.0;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Carnotaurus;56
Caudipteryx;Caudipteryx;Near lizard;Herbivore;2.0;50.0;1.0;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Caudipteryx;57
Cedarpelta;Cedarpelta;Fused lizard;Herbivore;6.0;6000.0;1.7;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Cedarpelta;58
Centrosaurus;Centrosaurus;Different lizard;Carnivore;12.0;2000.0;3.5;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Centrosaurus;59
Ceratosaurus;Ceratosaurus;Alvarez's lizard;Carnivore;2.0;20.0;0.8;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Ceratosaurus;60
Cetiosauriscus;Cetiosauriscus;La Amarga lizard;Herbivore;10.0;2500.0;3.5;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Cetiosauriscus;61
Cetiosaurus;Cetiosaurus;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Cetiosaurus;62
Chaoyangsaurus;Chaoyangsaurus;Vineyard lizard;Herbivore;15.0;5000.0;4.2;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Chaoyangsaurus;63
Chasmosaurus;Chasmosaurus;Almond tooth;Herbivore;12.0;3000.0;3.0;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Chasmosaurus;64
Chindesaurus;Chindesaurus;Near horned face;Herbivore;6.0;2000.0;2.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Chindesaurus;65
Chinshakiangosaurus;Chinshakiangosaurus;Near bird;Carnivore;0.5;0.38;0.25;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Chinshakiangosaurus;66
Chirostenotes;Chirostenotes;Near lizard;Herbivore;2.0;50.0;1.0;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Chirostenotes;67
Chubutisaurus;Chubutisaurus;Fused lizard;Herbivore;6.0;6000.0;1.7;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Chubutisaurus;68
Chungkingosaurus;Chungkingosaurus;Different lizard;Carnivore;12.0;2000.0;3.5;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Chungkingosaurus;69
Citipati;Citipati;Alvarez's lizard;Carnivore;2.0;20.0;0.8;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Citipati;70
Coelophysis;Coelophysis;La Amarga lizard;Herbivore;10.0;2500.0;3.5;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Coelophysis;71
Coelurus;Coelurus;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Coelurus;72
Coloradisaurus;Coloradisaurus;Vineyard lizard;Herbivore;15.0;5000.0;4.2;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Coloradisaurus;73
Compsognathus;Compsognathus;Almond tooth;Herbivore;12.0;3000.0;3.0;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Compsognathus;74
Concavenator;Concavenator;Near horned face;Herbivore;6.0;2000.0;2.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Concavenator;75
Conchoraptor;Conchoraptor;Near bird;Carnivore;0.5;0.38;0.25;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Conchoraptor;76
Confuciusornis;Confuciusornis;Near lizard;Herbivore;2.0;50.0;1.0;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Confuciusornis;77
Corythosaurus;Corythosaurus;Fused lizard;Herbivore;9.0;3800.0;3.0;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Corythosaurus;78
Cryolophosaurus;Cryolophosaurus;Different lizard;Carnivore;6.5;450.0;2.4;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Cryolophosaurus;79
Dacentrurus;Dacentrurus;Alvarez's lizard;Carnivore;2.0;20.0;0.8;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Dacentrurus;80
Daspletosaurus;Daspletosaurus;La Amarga lizard;Herbivore;10.0;2500.0;3.5;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Daspletosaurus;81
Datousaurus;Datousaurus;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Datousaurus;82
Deinocheirus;Deinocheirus;Vineyard lizard;Herbivore;11.0;6200.0;5.0;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Deinocheirus;83
Deinonychus;Deinonychus;Almond tooth;Herbivore;12.0;3000.0;3.0;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Deinonychus;84
Deltadromeus;Deltadromeus;Near horned face;Herbivore;8.0;2000.0;3.2;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Deltadromeus;85
Dicraeosaurus;Dicraeosaurus;Near bird;Carnivore;0.5;0.38;0.25;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Dicraeosaurus;86
Dilophosaurus;Dilophosaurus;Near lizard;Herbivore;2.0;50.0;1.0;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Dilophosaurus;87
Diplodocus;Diplodocus;Fused lizard;Herbivore;27.0;15000.0;6.5;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Diplodocus;88
Dracorex;Dracorex;Different lizard;Carnivore;12.0;2000.0;3.5;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Dracorex;89
Dreadnoughtus;Dreadnoughtus;Alvarez's lizard;Carnivore;2.0;20.0;0.8;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Dreadnoughtus;90
Dromaeosaurus;Dromaeosaurus;La Amarga lizard;Herbivore;10.0;2500.0;3.5;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Dromaeosaurus;91
Dromiceiomimus;Dromiceiomimus;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Dromiceiomimus;92
Dryosaurus;Dryosaurus;Vineyard lizard;Herbivore;4.0;80.0;1.5;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Dryosaurus;93
Dryptosaurus;Dryptosaurus;Almond tooth;Herbivore;12.0;3000.0;3.0;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Dryptosaurus;94
Dubreuillosaurus;Dubreuillosaurus;Near horned face;Herbivore;6.0;2000.0;2.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Dubreuillosaurus;95
Edmontonia;Edmontonia;Near bird;Carnivore;0.5;0.38;0.25;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Edmontonia;96
Edmontosaurus;Edmontosaurus;Near lizard;Herbivore;12.0;4000.0;3.5;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Edmontosaurus;97
Einiosaurus;Einiosaurus;Fused lizard;Herbivore;6.0;6000.0;1.7;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Einiosaurus;98
Elaphrosaurus;Elaphrosaurus;Different lizard;Carnivore;12.0;2000.0;3.5;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Elaphrosaurus;99
Emausaurus;Emausaurus;Alvarez's lizard;Carnivore;2.0;20.0;0.8;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Emausaurus;100
Enigmacursor;Enigmacursor;La Amarga lizard;Herbivore;10.0;2500.0;3.5;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Enigmacursor;101
Eolambia;Eolambia;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Eolambia;102
Eoraptor;Eoraptor;Vineyard lizard;Herbivore;15.0;5000.0;4.2;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Eoraptor;103
Eotyrannus;Eotyrannus;Almond tooth;Herbivore;12.0;3000.0;3.0;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Eotyrannus;104
Equijubus;Equijubus;Near horned face;Herbivore;6.0;2000.0;2.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Equijubus;105
Erketu;Erketu;Near bird;Carnivore;0.5;0.38;0.25;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Erketu;106
Erlikosaurus;Erlikosaurus;Near lizard;Herbivore;2.0;50.0;1.0;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Erlikosaurus;107
Euhelopus;Euhelopus;Fused lizard;Herbivore;6.0;6000.0;1.7;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Euhelopus;108
Euoplocephalus;Euoplocephalus;Different lizard;Carnivore;12.0;2000.0;3.5;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Euoplocephalus;109
Europasaurus;Europasaurus;Alvarez's lizard;Carnivore;2.0;20.0;0.8;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Europasaurus;110
Eustreptospondylus;Eustreptospondylus;La Amarga lizard;Herbivore;10.0;2500.0;3.5;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Eustreptospondylus;111
Fukuiraptor;Fukuiraptor;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Fukuiraptor;112
Fukuisaurus;Fukuisaurus;Vineyard lizard;Herbivore;15.0;5000.0;4.2;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Fukuisaurus;113
Gallimimus;Gallimimus;Almond tooth;Herbivore;6.0;440.0;2.1;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Gallimimus;114
Gargoyleosaurus;Gargoyleosaurus;Near horned face;Herbivore;6.0;2000.0;2.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Gargoyleosaurus;115
Garudimimus;Garudimimus;Near bird;Carnivore;0.5;0.38;0.25;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Garudimimus;116
Gasosaurus;Gasosaurus;Near lizard;Herbivore;2.0;50.0;1.0;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Gasosaurus;117
Gasparinisaura;Gasparinisaura;Fused lizard;Herbivore;6.0;6000.0;1.7;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Gasparinisaura;118
Gastonia;Gastonia;Different lizard;Carnivore;12.0;2000.0;3.5;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Gastonia;119
Giganotosaurus;Giganotosaurus;Alvarez's lizard;Carnivore;13.2;8000.0;4.5;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Giganotosaurus;120
Gigantoraptor;Gigantoraptor;La Amarga lizard;Herbivore;10.0;2500.0;3.5;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Gigantoraptor;121
Gilmoreosaurus;Gilmoreosaurus;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Gilmoreosaurus;122
Giraffatitan;Giraffatitan;Vineyard lizard;Herbivore;23.0;40000.0;12.0;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Giraffatitan;123
Gobisaurus;Gobisaurus;Almond tooth;Herbivore;12.0;3000.0;3.0;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Gobisaurus;124
Gorgosaurus;Gorgosaurus;Near horned face;Herbivore;6.0;2000.0;2.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Gorgosaurus;125
